Mes;Regional;Ciudad;dependencia;Ftes Fijos;Ftes Variables;Total Ftes;Total Fijo;Total Variable;Total Servicio
ABRIL;Antioquia;MEDELLIN;GALERIA COMERCIAL EXITO SAN ANTONIO;4;0;4;$ 16.519.699,25; $ -   ;$ 16.519.699,25
ABRIL;Antioquia;MEDELLIN;GALERIA COMERCIAL EXITO COLOMBIA;5,841;0;5,841;$ 24.740.004,82; $ -   ;$ 24.740.004,82
ABRIL;Antioquia;GUATAPE;"Surtimax Guatapé	";0;0,037;0,037; $ -   ;$ 186.717,68;$ 186.717,68
ABRIL;Antioquia;ENVIGADO;EXIITO EXPRESS LOMA DEL ESCOBERO;0;0,029;0,029; $ -   ;$ 145.224,86;$ 145.224,86
ABRIL;Antioquia;SANTAFE DE ANTIOQUIA;SURTIMAX SANTA FE DE ANTIOQU;0;0,258;0,258; $ -   ;$ 981.052,87;$ 981.052,87
ABRIL;Antioquia;ENVIGADO;EXITO WOW ENVIGADO;14,772;-0,176;14,596;$ 56.538.193,44;-$ 687.792,08;$ 55.850.401,36
ABRIL;Antioquia;MEDELLIN;EXITO POBLADO;14,8;-0,058;14,742;$ 59.158.620,20;-$ 241.219,97;$ 58.917.400,23
ABRIL;Antioquia;MEDELLIN;EXITO SAN ANTONIO;13,3;0,133;13,433;$ 50.508.399,20;$ 522.173,30;$ 51.030.572,50
ABRIL;Antioquia;MEDELLIN;Exito San Javier;1,762;0,216;1,978;$ 6.752.388,00;$ 822.818,53;$ 7.575.206,53
ABRIL;Antioquia;SAN PEDRO DE LOS MILAGROS;Exito San Pedro de los Milagros;1,825;0,564;2,389;$ 6.989.739,50;$ 2.459.672,88;$ 9.449.412,38
ABRIL;Antioquia;MEDELLIN;CARULLA SAO PAULO;3,15;0,515;3,665;$ 11.962.515,60;$ 2.040.873,34;$ 14.003.388,94
ABRIL;Antioquia;ENVIGADO;CARULLA CITY PLAZA;1,5;0,798;2,298;$ 5.696.436,00;$ 3.109.482,33;$ 8.805.918,33
ABRIL;Antioquia;MEDELLIN;SURTIMAX BELEN;0;0,116;0,116; $ -   ;$ 575.976,46;$ 575.976,46
ABRIL;Antioquia;EL RETIRO;CARULLA EXPRESS EDS EL RETIRO;0;0,1;0,1; $ -   ;$ 497.913,80;$ 497.913,80
ABRIL;Antioquia;MEDELLIN;Oficinas Medellin EX Colombia;1;0;1;$ 3.797.624,00; $ -   ;$ 3.797.624,00
ABRIL;Antioquia;MEDELLIN;CASA POBLADO;3;0;3;$ 12.722.075,25; $ -   ;$ 12.722.075,25
ABRIL;Antioquia;ENVIGADO;ADMON EDIFICIO MEDELLIN;3;-0,034;2,966;$ 12.722.075,25;-$ 126.587,47;$ 12.595.487,78
ABRIL;Costa;BARRANQUILLA;EXITO BUENAVISTA BARRANQUILLA;8,45;0,004;8,454;$ 32.532.990,55;$ 30.592,37;$ 32.563.582,92
ABRIL;Costa;BARRANQUILLA;EXITO BARRANQUILLA;10,034;0;10,034;$ 38.783.252,54; $ -   ;$ 38.783.252,54
ABRIL;Costa;CAUCASIA;EXITO CAUCASIA;4,7;0;4,7;$ 18.144.211,30; $ -   ;$ 18.144.211,30
ABRIL;Costa;TURBO;EXITO TURBO;3,75;0;3,75;$ 14.536.468,50; $ -   ;$ 14.536.468,50
